ticker,entry_date,exit_date,entry_price,exit_price,months_held,gross_return,net_return,exit_reason
RELIANCE,2010-10-31,2011-02-28,224.68,184.08,4,-18.07,-18.17,stop_loss
RELIANCE,2014-05-31,2014-10-31,228.06,195.86,5,-14.12,-14.22,stop_loss
RELIANCE,2016-09-30,2018-10-31,237.7,472.32,25,98.7,98.6,stop_loss
RELIANCE,2017-02-28,2018-10-31,271.56,472.32,20,73.93,73.83,stop_loss
RELIANCE,2017-03-31,2018-10-31,289.73,472.32,19,63.02,62.92,stop_loss
RELIANCE,2017-04-30,2018-10-31,306.03,472.32,18,54.34,54.24,stop_loss
RELIANCE,2017-07-31,2018-10-31,357.1,472.32,15,32.26,32.16,stop_loss
RELIANCE,2018-06-30,2018-10-31,432.87,472.32,4,9.11,9.01,stop_loss
RELIANCE,2018-07-31,2018-10-31,527.92,472.32,3,-10.53,-10.63,stop_loss
RELIANCE,2018-08-31,2018-10-31,552.69,472.32,2,-14.54,-14.64,stop_loss
RELIANCE,2018-09-30,2018-10-31,559.95,455.38,1,-18.67,-18.77,stop_loss
RELIANCE,2020-06-30,2020-07-31,770.33,796.81,1,3.44,3.34,stop_loss
RELIANCE,2020-07-31,2020-11-30,938.23,858.61,4,-8.49,-8.59,stop_loss
RELIANCE,2022-03-31,2023-03-31,1200.04,1038.63,12,-13.45,-13.55,stop_loss
RELIANCE,2022-04-30,2023-03-31,1270.87,1038.63,11,-18.27,-18.37,stop_loss
RELIANCE,2024-06-30,2024-11-30,1555.45,1276.31,5,-17.95,-18.05,stop_loss
TCS,2010-07-31,2011-08-31,306.21,364.31,13,18.97,18.87,stop_loss
TCS,2010-09-30,2011-08-31,337.99,364.31,11,7.79,7.69,stop_loss
TCS,2010-10-31,2011-08-31,383.92,364.31,10,-5.11,-5.21,stop_loss
TCS,2011-03-31,2011-08-31,433.23,364.31,5,-15.91,-16.01,stop_loss
TCS,2012-04-30,2012-10-31,463.06,433.6,6,-6.36,-6.46,stop_loss
TCS,2013-01-31,2013-07-31,509.33,560.3,6,10.01,9.91,stop_loss
TCS,2013-02-28,2013-07-31,574.82,560.3,5,-2.53,-2.63,stop_loss
TCS,2013-03-31,2013-07-31,597.08,560.3,4,-6.16,-6.26,stop_loss
TCS,2013-08-31,2016-02-29,779.06,895.85,30,14.99,14.89,stop_loss
TCS,2013-10-31,2016-02-29,810.89,895.85,28,10.48,10.38,stop_loss
TCS,2014-01-31,2016-02-29,861.95,895.85,25,3.93,3.83,stop_loss
TCS,2017-12-31,2018-04-30,1127.79,1189.52,4,5.47,5.37,stop_loss
TCS,2018-01-31,2018-04-30,1302.53,1189.52,3,-8.68,-8.78,stop_loss
TCS,2018-04-30,2018-10-31,1478.2,1536.69,6,3.96,3.86,stop_loss
TCS,2018-07-31,2018-10-31,1640.78,1536.69,3,-6.34,-6.44,stop_loss
TCS,2019-04-30,2020-03-31,1919.65,1600.72,11,-16.61,-16.71,stop_loss
TCS,2019-10-31,2020-03-31,1991.48,1600.72,5,-19.62,-19.72,stop_loss
TCS,2020-07-31,2022-05-31,2031.48,2918.16,22,43.65,43.55,stop_loss
TCS,2020-09-30,2022-05-31,2219.28,2918.16,20,31.49,31.39,stop_loss
TCS,2020-10-31,2022-05-31,2383.04,2918.16,19,22.46,22.36,stop_loss
TCS,2021-08-31,2022-05-31,3416.51,2918.16,9,-14.59,-14.69,stop_loss
TCS,2023-12-31,2025-02-28,3600.7,3538.12,14,-1.74,-1.84,stop_loss
TCS,2024-01-31,2025-02-28,3647.34,3538.12,13,-2.99,-3.09,stop_loss
TCS,2024-02-29,2025-02-28,3914.15,3538.12,12,-9.61,-9.71,stop_loss
TCS,2024-07-31,2025-02-28,4231.85,3538.12,7,-16.39,-16.49,stop_loss
INFY,2010-09-30,2011-05-31,265.22,246.15,8,-7.19,-7.29,stop_loss
INFY,2013-10-31,2014-05-31,306.69,284.81,7,-7.13,-7.23,stop_loss
INFY,2014-01-31,2014-05-31,342.94,284.81,4,-16.95,-17.05,stop_loss
INFY,2014-10-31,2016-08-31,383.47,396.2,22,3.32,3.22,stop_loss
INFY,2016-01-31,2016-08-31,451.86,396.2,7,-12.32,-12.42,stop_loss
INFY,2016-03-31,2016-08-31,472.57,396.2,5,-16.16,-16.26,stop_loss
INFY,2018-04-30,2019-10-31,489.78,583.22,18,19.08,18.98,stop_loss
INFY,2018-07-31,2019-10-31,571.07,583.22,15,2.13,2.03,stop_loss
INFY,2019-01-31,2019-10-31,637.44,583.22,9,-8.51,-8.61,stop_loss
INFY,2019-04-30,2019-10-31,638.97,583.22,6,-8.72,-8.82,stop_loss
INFY,2019-07-31,2019-10-31,684.47,583.22,3,-14.79,-14.89,stop_loss
INFY,2020-07-31,2022-04-30,855.09,1423.28,21,66.45,66.35,stop_loss
INFY,2020-10-31,2022-04-30,948.91,1423.28,18,49.99,49.89,stop_loss
INFY,2022-03-31,2022-05-31,1739.73,1400.99,2,-19.47,-19.57,stop_loss
INFY,2024-07-31,2025-03-31,1823.41,1581.31,8,-13.28,-13.38,stop_loss
HDFCBANK,2010-09-30,2011-01-31,110.19,89.76,4,-18.54,-18.64,stop_loss
HDFCBANK,2012-02-29,2012-10-31,115.24,115.63,8,0.34,0.24,stop_loss
HDFCBANK,2014-05-31,2020-03-31,179.55,494.12,70,175.2,175.1,stop_loss
HDFCBANK,2015-01-31,2020-03-31,246.07,494.12,62,100.8,100.7,stop_loss
HDFCBANK,2016-06-30,2020-03-31,272.95,494.12,45,81.03,80.93,stop_loss
HDFCBANK,2017-02-28,2020-03-31,322.52,494.12,37,53.21,53.11,stop_loss
HDFCBANK,2017-09-30,2020-03-31,421.72,494.12,30,17.17,17.07,stop_loss
HDFCBANK,2017-10-31,2020-03-31,422.38,494.12,29,16.99,16.89,stop_loss
HDFCBANK,2018-01-31,2020-03-31,468.43,494.12,26,5.48,5.38,stop_loss
HDFCBANK,2018-05-31,2020-03-31,502.86,494.12,22,-1.74,-1.84,stop_loss
HDFCBANK,2018-07-31,2020-03-31,512.28,494.12,20,-3.54,-3.64,stop_loss
HDFCBANK,2019-03-31,2020-03-31,541.26,494.12,12,-8.71,-8.81,stop_loss
HDFCBANK,2019-04-30,2020-03-31,544.7,494.12,11,-9.29,-9.39,stop_loss
HDFCBANK,2019-05-31,2020-03-31,570.06,494.12,10,-13.32,-13.42,stop_loss
HDFCBANK,2019-09-30,2020-03-31,581.89,494.12,6,-15.08,-15.18,stop_loss
HDFCBANK,2022-11-30,2024-01-31,774.71,683.6,14,-11.76,-11.86,stop_loss
HDFCBANK,2023-04-30,2024-01-31,812.83,683.6,9,-15.9,-16.0,stop_loss
HDFCBANK,2023-06-30,2024-01-31,828.88,683.6,7,-17.53,-17.63,stop_loss
HDFCBANK,2024-11-30,2025-10-31,886.93,976.17,11,10.06,9.96,end_data
ICICIBANK,2010-08-31,2011-01-31,150.55,157.12,5,4.36,4.26,stop_loss
ICICIBANK,2014-03-31,2014-05-31,201.54,205.91,2,2.17,2.07,stop_loss
ICICIBANK,2014-05-31,2015-03-31,229.55,262.4,10,14.31,14.21,stop_loss
ICICIBANK,2015-01-31,2015-03-31,301.34,262.4,2,-12.92,-13.02,stop_loss
ICICIBANK,2018-01-31,2018-03-31,339.36,280.73,2,-17.28,-17.38,stop_loss
ICICIBANK,2018-10-31,2020-03-31,342.86,426.84,17,24.49,24.39,stop_loss
ICICIBANK,2019-01-31,2020-03-31,351.98,426.84,14,21.27,21.17,stop_loss
ICICIBANK,2019-05-31,2020-03-31,409.21,426.84,10,4.31,4.21,stop_loss
ICICIBANK,2019-10-31,2020-03-31,448.3,426.84,5,-4.79,-4.89,stop_loss
ICICIBANK,2019-11-30,2020-03-31,496.28,426.84,4,-13.99,-14.09,stop_loss
ICICIBANK,2021-10-31,2022-03-31,778.78,672.13,5,-13.69,-13.79,stop_loss
ICICIBANK,2022-11-30,2025-10-31,930.81,1382.72,35,48.55,48.45,end_data
ICICIBANK,2023-07-31,2025-10-31,975.16,1382.72,27,41.79,41.69,end_data
ICICIBANK,2023-12-31,2025-10-31,981.51,1382.72,22,40.88,40.78,end_data
ICICIBANK,2024-01-31,2025-10-31,1012.58,1382.72,21,36.55,36.45,end_data
ICICIBANK,2024-03-31,2025-10-31,1076.74,1382.72,19,28.42,28.32,end_data
ICICIBANK,2024-06-30,2025-10-31,1181.43,1382.72,16,17.04,16.94,end_data
ICICIBANK,2025-04-30,2025-10-31,1417.49,1382.72,6,-2.45,-2.55,end_data
LT,2014-05-31,2014-10-31,864.87,793.76,5,-8.22,-8.32,stop_loss
LT,2015-02-28,2015-09-30,993.82,854.3,7,-14.04,-14.14,stop_loss
LT,2015-06-30,2015-09-30,1007.3,851.69,3,-15.45,-15.55,stop_loss
LT,2017-05-31,2019-05-31,1017.36,1153.95,24,13.43,13.33,stop_loss
LT,2017-12-31,2019-05-31,1117.39,1153.95,17,3.27,3.17,stop_loss
LT,2018-01-31,2019-05-31,1257.93,1153.95,16,-8.27,-8.37,stop_loss
LT,2019-05-31,2019-12-31,1400.85,1153.95,7,-17.63,-17.73,stop_loss
LT,2022-12-31,2025-02-28,2029.37,3138.36,26,54.65,54.55,stop_loss
LT,2023-01-31,2025-02-28,2066.92,3138.36,25,51.84,51.74,stop_loss
LT,2023-03-31,2025-02-28,2105.65,3138.36,23,49.04,48.94,stop_loss
LT,2023-09-30,2025-02-28,2975.22,3138.36,17,5.48,5.38,stop_loss
LT,2023-12-31,2025-02-28,3469.64,3138.36,14,-9.55,-9.65,stop_loss
LT,2024-03-31,2025-02-28,3703.74,3138.36,11,-15.27,-15.37,stop_loss
LT,2024-07-31,2025-02-28,3783.53,3138.36,7,-17.05,-17.15,stop_loss
SBIN,2010-08-31,2010-11-30,231.27,234.61,3,1.45,1.35,stop_loss
SBIN,2010-09-30,2010-11-30,270.9,234.61,2,-13.4,-13.5,stop_loss
SBIN,2014-11-30,2015-03-31,286.76,239.35,4,-16.53,-16.63,stop_loss
SBIN,2017-11-30,2018-02-28,295.89,255.67,3,-13.59,-13.69,stop_loss
SBIN,2019-05-31,2019-08-31,325.58,275.65,3,-15.34,-15.44,stop_loss
SBIN,2021-02-28,2021-04-30,360.36,315.4,2,-12.48,-12.58,stop_loss
SBIN,2021-05-31,2022-03-31,391.95,408.59,10,4.25,4.15,stop_loss
SBIN,2022-11-30,2023-02-28,570.35,475.85,3,-16.57,-16.67,stop_loss
SBIN,2023-07-31,2025-01-31,598.56,714.52,18,19.37,19.27,stop_loss
SBIN,2023-12-31,2025-01-31,619.65,714.52,13,15.31,15.21,stop_loss
SBIN,2024-02-29,2025-01-31,722.0,714.52,11,-1.04,-1.14,stop_loss
SBIN,2024-03-31,2025-01-31,726.1,714.52,10,-1.59,-1.69,stop_loss
SBIN,2024-05-31,2025-01-31,814.82,714.52,8,-12.31,-12.41,stop_loss
SBIN,2024-06-30,2025-01-31,833.07,714.52,7,-14.23,-14.33,stop_loss
BHARTIARTL,2011-06-30,2011-10-31,329.33,298.19,4,-9.45,-9.55,stop_loss
BHARTIARTL,2011-07-31,2011-10-31,364.65,298.19,3,-18.22,-18.32,stop_loss
BHARTIARTL,2017-10-31,2018-01-31,427.62,387.83,3,-9.3,-9.4,stop_loss
BHARTIARTL,2017-12-31,2018-01-31,455.53,375.95,1,-17.47,-17.57,stop_loss
BHARTIARTL,2020-01-31,2020-03-31,475.04,434.58,2,-8.52,-8.62,stop_loss
BHARTIARTL,2020-05-31,2020-09-30,528.77,467.55,4,-11.58,-11.68,stop_loss
BHARTIARTL,2020-06-30,2020-09-30,535.7,455.94,3,-14.89,-14.99,stop_loss
BHARTIARTL,2021-08-31,2024-06-30,637.69,1210.84,34,89.88,89.78,stop_loss
BHARTIARTL,2021-09-30,2024-06-30,673.39,1210.84,33,79.81,79.71,stop_loss
BHARTIARTL,2022-09-30,2024-06-30,786.05,1210.84,21,54.04,53.94,stop_loss
BHARTIARTL,2023-05-31,2024-06-30,835.18,1210.84,13,44.98,44.88,stop_loss
BHARTIARTL,2023-12-31,2024-06-30,1018.99,1210.84,6,18.83,18.73,stop_loss
BHARTIARTL,2024-01-31,2024-06-30,1155.71,1210.84,5,4.77,4.67,stop_loss
BHARTIARTL,2024-03-31,2024-06-30,1212.87,1210.84,3,-0.17,-0.27,stop_loss
BHARTIARTL,2024-04-30,2024-06-30,1305.37,1210.84,2,-7.24,-7.34,stop_loss
BHARTIARTL,2024-05-31,2024-06-30,1355.18,1210.84,1,-10.65,-10.75,stop_loss
BHARTIARTL,2024-06-30,2025-10-31,1425.57,1944.65,16,36.41,36.31,end_data
BHARTIARTL,2024-08-31,2025-10-31,1577.45,1944.65,14,23.28,23.18,end_data
BHARTIARTL,2025-03-31,2025-10-31,1720.75,1944.65,7,13.01,12.91,end_data
BHARTIARTL,2025-04-30,2025-10-31,1850.89,1944.65,6,5.07,4.97,end_data
ASIANPAINT,2010-07-31,2011-02-28,228.23,212.57,7,-6.86,-6.96,stop_loss
ASIANPAINT,2010-08-31,2011-02-28,242.19,212.57,6,-12.23,-12.33,stop_loss
ASIANPAINT,2011-05-31,2011-10-31,275.58,238.3,5,-13.53,-13.63,stop_loss
ASIANPAINT,2012-05-31,2013-08-31,357.42,379.25,15,6.11,6.01,stop_loss
ASIANPAINT,2013-01-31,2013-08-31,404.25,379.25,7,-6.18,-6.28,stop_loss
ASIANPAINT,2013-03-31,2013-08-31,441.62,379.25,5,-14.12,-14.22,stop_loss
ASIANPAINT,2013-07-31,2013-08-31,459.46,379.25,1,-17.46,-17.56,stop_loss
ASIANPAINT,2013-10-31,2015-04-30,489.32,675.11,18,37.97,37.87,stop_loss
ASIANPAINT,2014-06-30,2015-04-30,543.01,675.11,10,24.33,24.23,stop_loss
ASIANPAINT,2014-09-30,2015-04-30,577.06,675.11,7,16.99,16.89,stop_loss
ASIANPAINT,2014-10-31,2015-04-30,602.22,675.11,6,12.1,12.0,stop_loss
ASIANPAINT,2014-11-30,2015-04-30,682.61,675.11,5,-1.1,-1.2,stop_loss
ASIANPAINT,2014-12-31,2015-04-30,689.57,675.11,4,-2.1,-2.2,stop_loss
ASIANPAINT,2015-01-31,2015-04-30,786.23,675.11,3,-14.13,-14.23,stop_loss
ASIANPAINT,2015-07-31,2016-11-30,813.82,910.55,16,11.89,11.79,stop_loss
ASIANPAINT,2016-05-31,2016-11-30,910.32,910.55,6,0.03,-0.07,stop_loss
ASIANPAINT,2016-06-30,2016-11-30,932.32,910.55,5,-2.33,-2.43,stop_loss
ASIANPAINT,2017-07-31,2018-10-31,1089.44,1123.87,15,3.16,3.06,stop_loss
ASIANPAINT,2018-05-31,2018-10-31,1226.25,1123.87,5,-8.35,-8.45,stop_loss
ASIANPAINT,2018-07-31,2018-10-31,1370.63,1123.87,3,-18.0,-18.1,stop_loss
ASIANPAINT,2019-07-31,2020-03-31,1447.66,1464.36,8,1.15,1.05,stop_loss
ASIANPAINT,2019-08-31,2020-03-31,1538.17,1464.36,7,-4.8,-4.9,stop_loss
ASIANPAINT,2019-09-30,2020-03-31,1677.08,1464.36,6,-12.68,-12.78,stop_loss
ASIANPAINT,2020-08-31,2020-12-31,1819.64,2123.81,4,16.72,16.62,stop_loss
ASIANPAINT,2023-12-31,2024-05-31,3336.61,2680.04,5,-19.68,-19.78,stop_loss
BAJFINANCE,2010-07-31,2010-09-30,5.09,5.85,2,14.95,14.85,stop_loss
BAJFINANCE,2010-09-30,2010-11-30,6.92,5.98,2,-13.51,-13.61,stop_loss
BAJFINANCE,2012-02-29,2013-03-31,7.19,10.73,13,49.25,49.15,stop_loss
BAJFINANCE,2012-03-31,2013-03-31,7.4,10.73,12,44.88,44.78,stop_loss
BAJFINANCE,2012-07-31,2013-03-31,9.56,10.73,8,12.21,12.11,stop_loss
BAJFINANCE,2012-09-30,2013-03-31,10.87,10.73,6,-1.3,-1.4,stop_loss
BAJFINANCE,2012-10-31,2013-03-31,11.83,10.73,5,-9.37,-9.47,stop_loss
BAJFINANCE,2012-11-30,2013-03-31,12.69,10.73,4,-15.45,-15.55,stop_loss
BAJFINANCE,2013-05-31,2013-07-31,13.96,12.07,2,-13.51,-13.61,stop_loss
BAJFINANCE,2014-03-31,2015-01-31,17.16,34.63,10,101.8,101.7,stop_loss
BAJFINANCE,2014-04-30,2015-01-31,17.92,34.63,9,93.29,93.19,stop_loss
BAJFINANCE,2014-05-31,2015-01-31,19.36,34.63,8,78.85,78.75,stop_loss
BAJFINANCE,2015-01-31,2015-06-30,39.11,42.39,5,8.39,8.29,stop_loss
BAJFINANCE,2015-05-31,2015-06-30,40.71,42.39,1,4.12,4.02,stop_loss
BAJFINANCE,2015-06-30,2016-07-31,52.56,81.35,13,54.78,54.68,stop_loss
BAJFINANCE,2015-07-31,2016-07-31,53.4,81.35,12,52.34,52.24,stop_loss
BAJFINANCE,2016-05-31,2016-07-31,73.73,81.35,2,10.33,10.23,stop_loss
BAJFINANCE,2016-07-31,2016-11-30,100.86,91.91,4,-8.87,-8.97,stop_loss
BAJFINANCE,2016-08-31,2016-11-30,107.07,91.91,3,-14.16,-14.26,stop_loss
BAJFINANCE,2017-08-31,2018-02-28,173.72,154.58,6,-11.02,-11.12,stop_loss
BAJFINANCE,2017-09-30,2018-02-28,179.19,154.58,5,-13.74,-13.84,stop_loss
BAJFINANCE,2018-04-30,2018-09-30,185.98,233.44,5,25.52,25.42,stop_loss
BAJFINANCE,2018-05-31,2018-09-30,205.7,233.44,4,13.49,13.39,stop_loss
BAJFINANCE,2018-06-30,2018-09-30,223.87,233.44,3,4.28,4.18,stop_loss
BAJFINANCE,2018-07-31,2018-09-30,263.47,233.44,2,-11.4,-11.5,stop_loss
BAJFINANCE,2019-05-31,2019-07-31,338.59,293.33,2,-13.37,-13.47,stop_loss
BAJFINANCE,2019-09-30,2020-03-31,395.82,384.55,6,-2.85,-2.95,stop_loss
BAJFINANCE,2025-01-31,2025-10-31,784.46,1018.13,9,29.79,29.69,end_data
BAJFINANCE,2025-02-28,2025-10-31,848.65,1018.13,8,19.97,19.87,end_data
